taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
4b1c3c29333bdc4f7646aa7c20b20a29,Aseroe rubra Labill.,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Aseroe,species,ICN,Mainland,PT,present,introduced,established,transportStowaway,,,,,,,2021,2025,https://www.inaturalist.org/observations/98753287|https://www.inaturalist.org/observations/327835466,,Australia and New Zeland,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
52649f629ee7cb940edc8fa20b9951c4,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols",Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Batrachochytriaceae,Batrachochytrium,species,ICN,Mainland,PT,present,introduced,established,parasitesOnAnimals,,,,,,,2005,,10.1111/j.1461-0248.2009.01434.x|10.3897/neobiota.89.105994,,Eastern Asia,FALSE,FALSE,TRUE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
8d8622d1a41db21f5509af18175eee9d,Clathrus archeri (Berk.) Dring,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Clathrus,species,ICN,Mainland,PT,present,introduced,colonising,transportStowaway,,,,,,,2009,2025,https://observation.org/observation/262654447|https://www.inaturalist.org/observations/325548003,,Australia and New Zeland,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
72f0b401ce5cf8c748b0ef8992343745,Cortinarius clelandii A.H.Sm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,species,ICN,Mainland,PT,present,introduced,established,contaminantOnPlants,,,,,,,2020,2025,https://www.inaturalist.org/observations/42523172|https://www.inaturalist.org/observations/263202847,,Australia,TRUE,FALSE,FALSE,Eucalyptus,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
4bc6063bbe08a9a9f0961a060c2c9327,Erysiphe howeana U.Braun,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Erysiphe,species,ICN,Mainland,PT,present,introduced,reproducing,parasitesOnPlants,,,,,,,2023,2025,https://www.inaturalist.org/observations/178242695|https://www.inaturalist.org/observations/313778255,,North America,TRUE,FALSE,FALSE,Oenothera,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
ab0c06d84438569d9cf363c4487543d3,Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN,Mainland,PT,present,introduced,colonising,transportStowaway,,,,,,,2019,2025,https://www.inaturalist.org/observations/35045017|https://www.inaturalist.org/observations/328218878|doi.org/10.3390/f12101397,doi.org/10.3390/f12101397,Australia,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
ab0c06d84438569d9cf363c4487543d3,Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN,Azores,PT,present,introduced,established,transportStowaway,,,,,,,2024,2025,https://www.inaturalist.org/observations/249735160|https://www.inaturalist.org/observations/326614208|doi.org/10.3390/f12101397,,Australia,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
ab0c06d84438569d9cf363c4487543d3,Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN,Madeira,PT,present,introduced,reproducing,transportStowaway,,,,,,,2022,,https://www.inaturalist.org/observations/141177927|doi.org/10.3390/f12101397,,Australia,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
4124db2cb86d7d7d2f746689471a842b,Laccaria fraterna (Sacc.) Pegler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,species,ICN,Mainland,PT,present,introduced,established,contaminantOnPlants,,,,,,,1991,,https://www.gbif.org/occurrence/1881931269,,Australia,TRUE,FALSE,FALSE,Eucalyptus,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
e4938d18d7b55c89e1ab8834e9ebc3c9,Leratiomyces ceres (Cooke & Massee) Spooner & Bridge,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Leratiomyces,species,ICN,Mainland,PT,present,introduced,invasive,transportStowaway,,,,,,,2006,2025,https://www.inaturalist.org/observations/140647035|https://www.inaturalist.org/observations/328483190,,Australia,TRUE,FALSE,FALSE,,,NE,2025-11-26,Susana C. Gonçalves,Susana C. Gonçalves
