"","taxon_id_hash","scientific_name"
"1","4b1c3c29333bdc4f7646aa7c20b20a29","Aseroe rubra Labill."
"2","52649f629ee7cb940edc8fa20b9951c4","Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols"
"3","8d8622d1a41db21f5509af18175eee9d","Clathrus archeri (Berk.) Dring"
"4","72f0b401ce5cf8c748b0ef8992343745","Cortinarius clelandii A.H.Sm."
"5","4bc6063bbe08a9a9f0961a060c2c9327","Erysiphe howeana U.Braun"
"6","ab0c06d84438569d9cf363c4487543d3","Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai"
"7","ab0c06d84438569d9cf363c4487543d3","Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai"
"8","ab0c06d84438569d9cf363c4487543d3","Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai"
"9","4124db2cb86d7d7d2f746689471a842b","Laccaria fraterna (Sacc.) Pegler"
"10","e4938d18d7b55c89e1ab8834e9ebc3c9","Leratiomyces ceres (Cooke & Massee) Spooner & Bridge"
"11","e4938d18d7b55c89e1ab8834e9ebc3c9","Leratiomyces ceres (Cooke & Massee) Spooner & Bridge"
"12","e4938d18d7b55c89e1ab8834e9ebc3c9","Leratiomyces ceres (Cooke & Massee) Spooner & Bridge"
"13","34ce5f9601fc24c569d68a6e0dc68559","Leucocoprinus birnbaumii (Corda) Singer"
"14","34ce5f9601fc24c569d68a6e0dc68559","Leucocoprinus birnbaumii (Corda) Singer"
"15","34ce5f9601fc24c569d68a6e0dc68559","Leucocoprinus birnbaumii (Corda) Singer"
"16","e0a5b0b172f76cec5e1c81295df9f89a","Pleurotus citrinopileatus Singer"
"17","45c9da42daff6c0c654564bf15ebb9c6","Xylobolus illudens (Berk.) Boidin"
